sample	genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads	species	genus	SDP	sec_clust
10B	14B_MAG.27.fa	178.3167893942	0.967224605413823	0.0082216564733078	2316921	52	52	191	103.361691582574	0.0680582841742836	0.951943980826278	1	0.0075450032164095	0.984927767266554	0.991686536732532	NA	False	388737	124.773175694621	0.744258382904356	0.988349442190406	33243	18336	17884	45989	1556672	1578829	0.983633935748598	63873	3559061	Snodgrassella sp.	Snodgrassella	unclassified	60_1
10B	22B_MAG.26.fa	4.20684634678519	0.813122462369941	0.01079326035555	2519329	2	2	4	3.68452361598269	0.0023215255486656	0.412428864987463	0.975635919067614	0	0.976529386628478	0.984444354618284	NA	False	330	22.6151515151515	0.581564214856697	0.984004494350665	24387	16163	15907	17374	38651	39357	0.972029498334024	33281	91438	Bartonella apis	Bartonella	Bapis	39_6
10B	22B_MAG.3.fa	130.445916400143	0.999997475300868	0.0005348305007211	1980434	8	8	129	21.0832312894525	0.0149876175031369	0.999990911083126	1	0.0005097911077045	0.999986871445191	0.999995960444674	1.38202288795128	False	94	65.436170212766	0.838012890494227	0.963891318450904	26	8	5	103	1002507	1007017	0.997393011672128	108	2021238	Commensalibacter	Commensalibacter	Com_1	27_1
10B	2B_MAG.3.fa	1.01433554071608	0.477622144273053	0.0090491131524957	2517310	4	4	0	1.65312559166067	0.0010420933036335	0.0403462426161258	0.591661292058489	0	0.986737426647237	0.991778582962467	NA	False	5	9.4	0.852631578947369	1	1347	835	826	1315	9638	9768	0.984643215661123	2141	27281	Bartonella sp.	Bartonella	unclassified	39_5
10B	31B_MAG.25.fa	9.26198585747646	0.975604517227405	0.01042345516812	1890186	13	13	8	7.93496031263129	0.0057755254269296	0.795656617920141	0.999719330717441	0.0140999424620954	0.98498476334479	0.992752365621212	NA	False	36839	54.246939384891	0.398102300658968	0.960631770117305	22582	10900	10681	31377	65501	66908	0.980562857268036	42058	157308	Lactobacillus helsingborgensis	Lactobacillus	Firm5_2	38_1
10B	33B_MAG.16.fa	0.281236934146022	0.0048736460052276	0.016040323406352	2652429	19	7	0	8.25516063590965	0.0050724181236731	0.0030798185361417	0.219899259265888	0.0077047693411807	0.956298200514138	0.969029256946994	NA	False	2014	111.751241310824	0.628737109362108	0.95869592512422	357	253	238	313	2657	3426	0.94138758814247	551	13503	Apibacter sp.	Apibacter	unclassified	40_1
10B	33B_MAG.28.fa	9.75887714088221	0.842477663142265	0.0139758029489739	1953050	18	18	4	18.1432638863692	0.0129944971515718	0.428772944881083	0.999819013572446	0.0074613649208737	0.977417409528131	0.988506296161402	NA	False	42196	64.3262868518343	0.561604264242071	0.98618936209404	18911	9625	9364	23671	70058	72005	0.976370437171716	33035	279807	Bifidobacterium asteroides	Bifidobacterium	unclassified	58_4
10B	35B_MAG.14.fa	0.0003773130134635	0.0001475765037179	0	5136319	18	1	0	0.0420397631610763	1.85560937772226e-05	2.86197177394937e-05	0.0003331118967961	0	0.938775510204081	0.938775510204081	NA	False	NA	NA	NA	NA	9	9	9	0	7	40	0.907401446593213	9	389	Klebsiella aerogenes	Klebsiella	unclassified	19_1
10B	48B_MAG.22.fa	0.0872007421819246	0.0076638117630898	0.0156947542113351	3727388	72	41	0	4.03823470956956	0.0020957035207207	0.0007224898508016	0.0741085310352509	0.0088488837456731	0.920906052729298	0.937616041589306	NA	False	683	102.865300146413	0.648506923965114	0.992047581290359	213	168	160	104	1158	1698	0.994283229016029	264	5281	Jejubacter sp.	Jejubacter	unclassified	12_1
10B	49B_MAG.12.fa	4.08215189353662	0.953871106133481	0.0006167705851529	2825084	41	41	4	2.60271142797123	0.001550749374161	0.383755314886212	0.972800049403659	0	0.99987639984098	0.99997694026884	NA	False	85	41.9764705882353	0.576415107509896	0.990756302521008	134	25	25	573	45224	45390	0.996876996464084	598	93242	Gilliamella sp.	Gilliamella	unclassified	47_1
